129;"ASSISTENTE CONTROLE DE QUALIDA";3;"391215";0;03/07/15;03/07/15;03/07/15;?;0;1;1;1;1;"";"";"lucimar";03/07/15;"154358";"";"";?;?;no;no;0;0;0;0;1
130;"AUXILIAR DE CONTROLE AUTOMOTIV";3;"391215";0;09/10/19;09/10/19;09/10/19;?;0;1;1;1;3;"";"";"gmoreno";09/10/19;"161004";"";"";?;?;no;no;0;0;0;0;1
131;"ASSISTENTE DE RH";3;"411030";0;08/04/14;08/04/14;08/04/14;?;0;1;1;1;1;"";"";"LUCIMAR";08/04/14;"071909";"";"";?;?;no;no;0;0;0;0;1
132;"DOMADOR DE CAVALOS";3;"623005";0;14/04/14;14/04/14;14/04/14;?;0;1;1;1;2;"";"";"LUCIMAR";14/04/14;"101820";"";"";?;?;no;no;0;0;0;0;1
133;"COORDENADOR AGRICOLA";3;"620105";0;19/08/22;19/08/22;19/08/22;?;0;1;1;1;2;"";"";"amagro";19/08/22;"095151";"";"";?;?;no;no;0;0;0;0;1
134;"ELETRICISTA JR";3;"715615";0;01/04/19;01/04/19;01/04/19;?;0;1;1;1;3;"";"";"msantos";01/04/19;"102901";"";"";?;?;no;no;0;0;0;0;1
135;"ELETRICISTA SR";3;"715615";0;19/08/22;19/08/22;19/08/22;?;0;1;1;1;3;"";"";"amagro";19/08/22;"143841";"";"";?;?;no;no;0;0;0;0;1
136;"ELETRICISTA PL";3;"715615";0;01/04/19;01/04/19;01/04/19;?;0;1;1;1;3;"";"";"msantos";01/04/19;"102843";"";"";?;?;no;no;0;0;0;0;1
137;"MECANICO JR";3;"913115";0;01/04/19;01/04/19;01/04/19;?;0;1;1;1;3;"";"";"msantos";01/04/19;"102300";"";"";?;?;no;no;0;0;0;0;1
138;"MECANICO SR I";3;"913115";0;01/04/19;01/04/19;01/04/19;?;0;1;1;1;3;"";"";"msantos";01/04/19;"102429";"";"";?;?;no;no;0;0;0;0;1
139;"MECANICO PL";3;"913115";0;01/04/19;01/04/19;01/04/19;?;0;1;1;1;3;"";"";"msantos";01/04/19;"102251";"";"";?;?;no;no;0;0;0;0;1
140;"SOLDADOR JUNIOR";3;"724315";0;10/12/15;10/12/15;10/12/15;?;0;1;1;1;3;"";"";"lucimar";10/12/15;"165814";"";"";?;?;no;no;0;0;0;0;1
141;"SOLDADOR PLENO";3;"724315";0;30/05/14;30/05/14;30/05/14;?;0;1;1;1;3;"";"";"ELLEN";30/05/14;"141132";"";"";?;?;no;no;0;0;0;0;1
